Sample	Passed Filter	Low Quality	Too Many N	Too Short	Too Long
EASI009_L2_polyg	975082.0	0.0	0.0	618.0	0.0
EASI009_L3_polyg	1011818.0	0.0	0.0	708.0	0.0
EASI009_L4_polyg	983590.0	0.0	0.0	598.0	0.0
EASI010_L1_polyg	988988.0	0.0	0.0	564.0	0.0
EASI010_L2_polyg	922232.0	0.0	0.0	468.0	0.0
EASI010_L3_polyg	950114.0	0.0	0.0	470.0	0.0
EASI010_L4_polyg	919730.0	0.0	0.0	444.0	0.0
EASI011_L1_polyg	1049804.0	0.0	0.0	678.0	0.0
EASI011_L2_polyg	979720.0	0.0	0.0	450.0	0.0
EASI011_L3_polyg	1017988.0	0.0	0.0	582.0	0.0
EASI011_L4_polyg	985178.0	0.0	0.0	562.0	0.0
EASI012A_L1_polyg	1008984.0	0.0	0.0	822.0	0.0
EASI012A_L2_polyg	950948.0	0.0	0.0	616.0	0.0
EASI012A_L3_polyg	976844.0	0.0	0.0	740.0	0.0
EASI012A_L4_polyg	952566.0	0.0	0.0	720.0	0.0
EASI012B_L1_polyg	756502.0	0.0	0.0	834.0	0.0
EASI012B_L2_polyg	715278.0	0.0	0.0	710.0	0.0
EASI012B_L3_polyg	733974.0	0.0	0.0	772.0	0.0
EASI012B_L4_polyg	712726.0	0.0	0.0	644.0	0.0
EASI013_L1_polyg	1150554.0	0.0	0.0	1042.0	0.0
EASI013_L2_polyg	1078854.0	0.0	0.0	702.0	0.0
EASI013_L3_polyg	1118238.0	0.0	0.0	980.0	0.0
EASI013_L4_polyg	1083806.0	0.0	0.0	794.0	0.0
EASI014_L1_polyg	1018672.0	0.0	0.0	556.0	0.0
EASI014_L2_polyg	957018.0	0.0	0.0	456.0	0.0
EASI014_L3_polyg	993014.0	0.0	0.0	610.0	0.0
EASI014_L4_polyg	959618.0	0.0	0.0	494.0	0.0
EASI015A_L1_polyg	1055864.0	0.0	0.0	1032.0	0.0
EASI015A_L2_polyg	988956.0	0.0	0.0	750.0	0.0
EASI015A_L3_polyg	1028926.0	0.0	0.0	942.0	0.0
EASI015A_L4_polyg	994038.0	0.0	0.0	856.0	0.0
EASI015B_L1_polyg	843900.0	0.0	0.0	620.0	0.0
EASI015B_L2_polyg	785652.0	0.0	0.0	444.0	0.0
EASI015B_L3_polyg	821070.0	0.0	0.0	558.0	0.0
EASI015B_L4_polyg	792744.0	0.0	0.0	422.0	0.0
EASI015C_L1_polyg	887436.0	0.0	0.0	450.0	0.0
EASI015C_L2_polyg	835226.0	0.0	0.0	358.0	0.0
EASI015C_L3_polyg	862046.0	0.0	0.0	472.0	0.0
EASI015C_L4_polyg	841016.0	0.0	0.0	372.0	0.0
EASI015D_L1_polyg	1126598.0	0.0	0.0	868.0	0.0
EASI015D_L2_polyg	1059318.0	0.0	0.0	584.0	0.0
EASI015D_L3_polyg	1096852.0	0.0	0.0	794.0	0.0
EASI015D_L4_polyg	1066322.0	0.0	0.0	802.0	0.0
EASI016A_L1_polyg	1026436.0	0.0	0.0	556.0	0.0
EASI016A_L2_polyg	952356.0	0.0	0.0	382.0	0.0
EASI016A_L3_polyg	994718.0	0.0	0.0	392.0	0.0
EASI016A_L4_polyg	957410.0	0.0	0.0	412.0	0.0
EASI016B_L1_polyg	939082.0	0.0	0.0	1120.0	0.0
EASI016B_L2_polyg	880826.0	0.0	0.0	864.0	0.0
EASI016B_L3_polyg	914092.0	0.0	0.0	1032.0	0.0
EASI016B_L4_polyg	886052.0	0.0	0.0	978.0	0.0
EASI017A_L1_polyg	855238.0	0.0	0.0	1294.0	0.0
EASI017A_L2_polyg	816888.0	0.0	0.0	970.0	0.0
EASI017A_L3_polyg	821384.0	0.0	0.0	1176.0	0.0
EASI017A_L4_polyg	803090.0	0.0	0.0	1048.0	0.0
EASI017B_L1_polyg	941752.0	0.0	0.0	938.0	0.0
EASI017B_L2_polyg	886466.0	0.0	0.0	650.0	0.0
EASI017B_L3_polyg	912700.0	0.0	0.0	886.0	0.0
EASI017B_L4_polyg	887468.0	0.0	0.0	770.0	0.0
EASI018_L1_polyg	819100.0	0.0	0.0	1136.0	0.0
EASI018_L2_polyg	781294.0	0.0	0.0	784.0	0.0
EASI018_L3_polyg	791226.0	0.0	0.0	1062.0	0.0
EASI018_L4_polyg	771894.0	0.0	0.0	684.0	0.0
EASI040_L1_polyg	2879032.0	0.0	0.0	4166.0	0.0
EASI040_L2_polyg	2703318.0	0.0	0.0	3366.0	0.0
EASI040_L3_polyg	2826254.0	0.0	0.0	4326.0	0.0
EASI040_L4_polyg	2700086.0	0.0	0.0	3480.0	0.0
EASI041_L1_polyg	2456000.0	0.0	0.0	2518.0	0.0
EASI041_L2_polyg	2310054.0	0.0	0.0	2212.0	0.0
EASI041_L3_polyg	2393572.0	0.0	0.0	2668.0	0.0
EASI041_L4_polyg	2306148.0	0.0	0.0	2212.0	0.0
EASI042_L1_polyg	910954.0	0.0	0.0	1214.0	0.0
EASI042_L2_polyg	850526.0	0.0	0.0	848.0	0.0
EASI042_L3_polyg	888596.0	0.0	0.0	1072.0	0.0
EASI042_L4_polyg	852096.0	0.0	0.0	988.0	0.0
EASI033A_L1_polyg	999506.0	0.0	0.0	1116.0	0.0
EASI033A_L2_polyg	919630.0	0.0	0.0	830.0	0.0
EASI033A_L3_polyg	942854.0	0.0	0.0	992.0	0.0
EASI033A_L4_polyg	927356.0	0.0	0.0	840.0	0.0
EASI033B_L1_polyg	832384.0	0.0	0.0	1102.0	0.0
EASI033B_L2_polyg	782926.0	0.0	0.0	912.0	0.0
EASI033B_L3_polyg	805982.0	0.0	0.0	982.0	0.0
EASI033B_L4_polyg	784334.0	0.0	0.0	930.0	0.0
EASI034_L1_polyg	837888.0	0.0	0.0	716.0	0.0
EASI034_L2_polyg	772728.0	0.0	0.0	564.0	0.0
EASI034_L3_polyg	809386.0	0.0	0.0	720.0	0.0
EASI034_L4_polyg	776500.0	0.0	0.0	632.0	0.0
EASI043_L1_polyg	1835406.0	0.0	0.0	4052.0	0.0
EASI043_L2_polyg	1786378.0	0.0	0.0	3626.0	0.0
EASI043_L3_polyg	1783696.0	0.0	0.0	4060.0	0.0
EASI043_L4_polyg	1791836.0	0.0	0.0	3562.0	0.0
EASI044_L1_polyg	2032354.0	0.0	0.0	1816.0	0.0
EASI044_L2_polyg	1926456.0	0.0	0.0	1756.0	0.0
EASI044_L3_polyg	1971922.0	0.0	0.0	1816.0	0.0
EASI044_L4_polyg	1924220.0	0.0	0.0	1668.0	0.0
EASI045_L1_polyg	1878004.0	0.0	0.0	2770.0	0.0
EASI045_L2_polyg	1775268.0	0.0	0.0	2416.0	0.0
EASI045_L3_polyg	1818328.0	0.0	0.0	2738.0	0.0
EASI045_L4_polyg	1769590.0	0.0	0.0	2514.0	0.0
EASI035_L1_polyg	888328.0	0.0	0.0	908.0	0.0
EASI035_L2_polyg	836586.0	0.0	0.0	658.0	0.0
EASI035_L3_polyg	865744.0	0.0	0.0	830.0	0.0
EASI035_L4_polyg	838080.0	0.0	0.0	710.0	0.0
EASI037_L1_polyg	846470.0	0.0	0.0	684.0	0.0
EASI037_L2_polyg	791924.0	0.0	0.0	470.0	0.0
EASI037_L3_polyg	824198.0	0.0	0.0	606.0	0.0
EASI037_L4_polyg	792010.0	0.0	0.0	504.0	0.0
EASI038_L1_polyg	770782.0	0.0	0.0	894.0	0.0
EASI038_L2_polyg	719256.0	0.0	0.0	760.0	0.0
EASI038_L3_polyg	741916.0	0.0	0.0	846.0	0.0
EASI038_L4_polyg	720296.0	0.0	0.0	966.0	0.0
EASI039A_L1_polyg	2289734.0	0.0	0.0	2472.0	0.0
EASI039A_L2_polyg	2152406.0	0.0	0.0	2294.0	0.0
EASI039A_L3_polyg	2237616.0	0.0	0.0	2562.0	0.0
EASI039A_L4_polyg	2146388.0	0.0	0.0	2450.0	0.0
EASI039B_L1_polyg	2721030.0	0.0	0.0	2218.0	0.0
EASI039B_L2_polyg	2553818.0	0.0	0.0	2018.0	0.0
EASI039B_L3_polyg	2648636.0	0.0	0.0	2228.0	0.0
EASI039B_L4_polyg	2546414.0	0.0	0.0	2182.0	0.0
EASI039C_L1_polyg	2633602.0	0.0	0.0	1874.0	0.0
EASI039C_L2_polyg	2495860.0	0.0	0.0	1886.0	0.0
EASI039C_L3_polyg	2564196.0	0.0	0.0	2032.0	0.0
EASI039C_L4_polyg	2488462.0	0.0	0.0	1962.0	0.0
EASI039D_L1_polyg	2863368.0	0.0	0.0	2646.0	0.0
EASI039D_L2_polyg	2707158.0	0.0	0.0	2272.0	0.0
EASI039D_L3_polyg	2796134.0	0.0	0.0	2800.0	0.0
EASI039D_L4_polyg	2703930.0	0.0	0.0	2390.0	0.0
EASI304_L1_polyg	2823368.0	0.0	0.0	1276.0	0.0
EASI304_L2_polyg	2716512.0	0.0	0.0	898.0	0.0
EASI304_L3_polyg	2743782.0	0.0	0.0	1392.0	0.0
EASI304_L4_polyg	2408490.0	0.0	0.0	1094.0	0.0
EASI306_L1_polyg	2223502.0	0.0	0.0	1162.0	0.0
EASI306_L2_polyg	2145082.0	0.0	0.0	1054.0	0.0
EASI306_L3_polyg	2135546.0	0.0	0.0	1188.0	0.0
EASI306_L4_polyg	1686072.0	0.0	0.0	1088.0	0.0
EASI307_L1_polyg	2069050.0	0.0	0.0	1150.0	0.0
EASI307_L2_polyg	2001444.0	0.0	0.0	1292.0	0.0
EASI307_L3_polyg	1997916.0	0.0	0.0	1032.0	0.0
EASI307_L4_polyg	1645800.0	0.0	0.0	1238.0	0.0
EASI308_L1_polyg	2317592.0	0.0	0.0	1690.0	0.0
EASI308_L2_polyg	2224130.0	0.0	0.0	1686.0	0.0
EASI308_L3_polyg	2232372.0	0.0	0.0	1668.0	0.0
EASI308_L4_polyg	1860510.0	0.0	0.0	1696.0	0.0
EASI230_L1_polyg	1911754.0	0.0	0.0	758.0	0.0
EASI230_L2_polyg	1841794.0	0.0	0.0	626.0	0.0
EASI230_L3_polyg	1858310.0	0.0	0.0	824.0	0.0
EASI230_L4_polyg	1663314.0	0.0	0.0	728.0	0.0
EASI231_L1_polyg	2777318.0	0.0	0.0	1484.0	0.0
EASI231_L2_polyg	2653512.0	0.0	0.0	1486.0	0.0
EASI231_L3_polyg	2657068.0	0.0	0.0	1378.0	0.0
EASI231_L4_polyg	1889566.0	0.0	0.0	1268.0	0.0
EASI232_L1_polyg	2315458.0	0.0	0.0	1028.0	0.0
EASI232_L2_polyg	2221186.0	0.0	0.0	820.0	0.0
EASI232_L3_polyg	2242626.0	0.0	0.0	1018.0	0.0
EASI232_L4_polyg	1744818.0	0.0	0.0	974.0	0.0
EASI233_L1_polyg	2302234.0	0.0	0.0	1080.0	0.0
EASI233_L2_polyg	2222518.0	0.0	0.0	994.0	0.0
EASI233_L3_polyg	2231390.0	0.0	0.0	1110.0	0.0
EASI233_L4_polyg	1952040.0	0.0	0.0	1080.0	0.0
EASI234_L1_polyg	2542240.0	0.0	0.0	1276.0	0.0
EASI234_L2_polyg	2436752.0	0.0	0.0	1134.0	0.0
EASI234_L3_polyg	2459348.0	0.0	0.0	1348.0	0.0
EASI234_L4_polyg	2090272.0	0.0	0.0	1380.0	0.0
EASI235_L1_polyg	2146542.0	0.0	0.0	728.0	0.0
EASI235_L2_polyg	2070390.0	0.0	0.0	698.0	0.0
EASI235_L3_polyg	2083232.0	0.0	0.0	796.0	0.0
EASI235_L4_polyg	1859784.0	0.0	0.0	858.0	0.0
EASI236_L1_polyg	2085586.0	0.0	0.0	1226.0	0.0
EASI236_L2_polyg	1996422.0	0.0	0.0	1028.0	0.0
EASI236_L3_polyg	2007890.0	0.0	0.0	1208.0	0.0
EASI236_L4_polyg	1501092.0	0.0	0.0	1066.0	0.0
EASI237_L1_polyg	2171640.0	0.0	0.0	1444.0	0.0
EASI237_L2_polyg	2090890.0	0.0	0.0	1280.0	0.0
EASI237_L3_polyg	2103556.0	0.0	0.0	1434.0	0.0
EASI237_L4_polyg	1765032.0	0.0	0.0	1360.0	0.0
EASI238_L1_polyg	2037118.0	0.0	0.0	730.0	0.0
EASI238_L2_polyg	1966962.0	0.0	0.0	618.0	0.0
EASI238_L3_polyg	1976576.0	0.0	0.0	762.0	0.0
EASI238_L4_polyg	1759186.0	0.0	0.0	666.0	0.0
EASI239_L1_polyg	2884458.0	0.0	0.0	1316.0	0.0
EASI239_L2_polyg	2777682.0	0.0	0.0	1316.0	0.0
EASI239_L3_polyg	2788840.0	0.0	0.0	1372.0	0.0
EASI239_L4_polyg	2396148.0	0.0	0.0	1388.0	0.0
EASI240_L1_polyg	2661980.0	0.0	0.0	1136.0	0.0
EASI240_L2_polyg	2559814.0	0.0	0.0	872.0	0.0
EASI240_L3_polyg	2584656.0	0.0	0.0	1170.0	0.0
EASI240_L4_polyg	2173486.0	0.0	0.0	994.0	0.0
EASI241_L1_polyg	2884636.0	0.0	0.0	1058.0	0.0
EASI241_L2_polyg	2774514.0	0.0	0.0	854.0	0.0
EASI241_L3_polyg	2800256.0	0.0	0.0	1016.0	0.0
EASI241_L4_polyg	2470028.0	0.0	0.0	930.0	0.0
EASI242_L1_polyg	2349798.0	0.0	0.0	2482.0	0.0
EASI242_L2_polyg	2259888.0	0.0	0.0	2156.0	0.0
EASI242_L3_polyg	2282776.0	0.0	0.0	2382.0	0.0
