Node	NumberOfAssignedReads
Vibrio_cholerae_O1_biovar_El_Tor	1
Vibrio_cholerae_O395	1
Vibrio_furnissii	18
Vibrio_furnissii_NCTC_11218	3
Vibrio_parahaemolyticus	18
Vibrio_parahaemolyticus_UCM-V493	3
Vibrio_splendidus	2
Vibrio_vulnificus	22
Vibrio_vulnificus_CMCP6	2
Vibrio_vulnificus_VVyb1(BT3)	1
Vibrio_vulnificus_YJ016	3
Yersinia_aldovae	0
Yersinia_aleksiciae	1
Yersinia_enterocolitica	3
Yersinia_enterocolitica_subsp._enterocolitica	1
Yersinia_enterocolitica_subsp._palearctica_105.5R(r)	2
Yersinia_intermedia	1
Yersinia_pestis	2
Yersinia_pestis_CO92	0
Yersinia_pseudotuberculosis	1
Yersinia_pseudotuberculosis_complex	1
Yersinia_rohdei	1
Yersinia_ruckeri	1
Yersinia_similis	1
