Node	NumberOfAssignedReads
Staphylococcus_epidermidis_ATCC_12228	1
Staphylococcus_equorum	0
Staphylococcus_hominis	0
Staphylococcus_nepalensis	0
Staphylococcus_saprophyticus	0
Staphylococcus_simulans	1
Staphylococcus_succinus	0
Streptococcus_agalactiae	6
Streptococcus_agalactiae_NEM316	1
Streptococcus_anginosus	22
Streptococcus_anginosus_C1051	2
Streptococcus_canis	39
Streptococcus_cristatus	1
Streptococcus_cristatus_AS_1.3089	1
Streptococcus_cristatus_ATCC_51100	7
Streptococcus_dysgalactiae	9
Streptococcus_dysgalactiae_subsp._dysgalactiae	25
Streptococcus_dysgalactiae_subsp._equisimilis	20
Streptococcus_equi	12
Streptococcus_equi_subsp._equi	26
Streptococcus_equi_subsp._zooepidemicus	241
Streptococcus_equi_subsp._zooepidemicus_CY	30
Streptococcus_equi_subsp._zooepidemicus_MGCS10565	4
Streptococcus_gallolyticus	11
Streptococcus_gallolyticus_UCN34	4
Streptococcus_gordonii	7
Streptococcus_gordonii_str._Challis_substr._CH1	0
Streptococcus_intermedius	0
Streptococcus_intermedius_B196	10
Streptococcus_lutetiensis	2
Streptococcus_milleri	5
Streptococcus_mitis	2
Streptococcus_mutans	8
Streptococcus_oralis	11
Streptococcus_oralis_Uo5	1
Streptococcus_oralis_subsp._oralis	2
Streptococcus_oralis_subsp._tigurinus	1
Streptococcus_parauberis	0
Streptococcus_parauberis_NCFD_2020	2
Streptococcus_pneumoniae	8
Streptococcus_pneumoniae_670-6B	1
Streptococcus_pyogenes	28
Streptococcus_pyogenes_A20	2
Streptococcus_pyogenes_HKU_QMH11M0907901	2
Streptococcus_pyogenes_MGAS10394	1
Streptococcus_pyogenes_MGAS10750	1
Streptococcus_salivarius	10
Streptococcus_sanguinis	7
Streptococcus_sanguinis_SK36	4
Streptococcus_sp._HSISM1	1
Streptococcus_suis	94
Streptococcus_suis_05HAS68	2
Streptococcus_suis_6407	6
Streptococcus_suis_D12	5
Streptococcus_suis_JS14	2
Streptococcus_suis_ST1	3
Streptococcus_suis_T15	8
Streptococcus_suis_TL13	4
Streptococcus_suis_YB51	6
Streptococcus_thermophilus	1
Streptococcus_thermophilus_1F8CT	2
Streptococcus_thermophilus_ND03	3
Tannerella_forsythia	2917
Tannerella_forsythia_92A2	2021
Tannerella_forsythia_KS16	2003
Treponema	6
Treponema_azotonutricium_ZAS-9	3
Treponema_brennaborense_DSM_12168	1
Treponema_denticola	5
Treponema_denticola_ATCC_35405	0
Treponema_denticola_OTK	1
Treponema_pallidum	0
Treponema_pallidum_subsp._pallidum	0
Treponema_pallidum_subsp._pertenue	0
Treponema_pedis	44
Treponema_phagedenis	6
Treponema_primitia_ZAS-2	1
Treponema_putidum	1
Treponema_sp._OMZ_838	2
Treponema_vincentii	2
Veillonella_parvula	2
Vesicular_stomatitis_Indiana_virus	0
Vibrio_anguillarum	0
Vibrio_cholerae	2
Vibrio_furnissii	0
Vibrio_parahaemolyticus	0
Vibrio_splendidus	0
Vibrio_vulnificus	2
Yersinia_aldovae	0
Yersinia_aldovae_670-83	1
Yersinia_aleksiciae	0
Yersinia_enterocolitica	1
Yersinia_enterocolitica_(type_O:5)_str._YE53/03	2
Yersinia_enterocolitica_subsp._palearctica_105.5R(r)	1
Yersinia_intermedia	0
Yersinia_pestis	0
Yersinia_pestis_8787	1
Yersinia_pestis_CO92	0
Yersinia_pseudotuberculosis	0
Yersinia_pseudotuberculosis_complex	1
Yersinia_rohdei	0
Yersinia_ruckeri	2
Yersinia_similis	1
