Node	NumberOfAssignedReads
Treponema_denticola_ATCC_35405	0
Treponema_medium	1
Treponema_pallidum	0
Treponema_pallidum_subsp._pallidum	0
Treponema_pallidum_subsp._pertenue	0
Treponema_phagedenis	1
Treponema_primitia_ZAS-2	3
Treponema_putidum	1
Treponema_ruminis	1
Treponema_sp._OMZ_838	1
Veillonella_parvula	0
Vesicular_stomatitis_Indiana_virus	0
Vibrio_anguillarum	59
Vibrio_anguillarum_775	5
Vibrio_cholerae	91
Vibrio_cholerae_O1_biovar_El_Tor	2
Vibrio_cholerae_O395	10
Vibrio_furnissii	134
Vibrio_furnissii_NCTC_11218	96
Vibrio_parahaemolyticus	84
Vibrio_parahaemolyticus_O1:Kuk_str._FDA_R31	3
Vibrio_parahaemolyticus_UCM-V493	3
Vibrio_splendidus	8
Vibrio_vulnificus	39
Vibrio_vulnificus_CMCP6	5
Vibrio_vulnificus_Env1	3
Vibrio_vulnificus_NBRC_15645_=_ATCC_27562	3
Vibrio_vulnificus_VVyb1(BT3)	5
Vibrio_vulnificus_YJ016	14
Yersinia_aldovae	0
Yersinia_aldovae_670-83	1
Yersinia_aleksiciae	2
Yersinia_enterocolitica	5
Yersinia_enterocolitica_(type_O:5)_str._YE53/03	3
Yersinia_enterocolitica_LC20	3
Yersinia_enterocolitica_subsp._palearctica_105.5R(r)	3
Yersinia_intermedia	3
Yersinia_pestis	2
Yersinia_pestis_CO92	0
Yersinia_pseudotuberculosis	0
Yersinia_pseudotuberculosis_complex	5
Yersinia_rohdei	9
Yersinia_ruckeri	8
Yersinia_similis	2
