Node	NumberOfAssignedReads
Streptococcus_sanguinis_SK36	7
Streptococcus_sp._HSISM1	0
Streptococcus_suis	3
Streptococcus_suis_6407	1
Streptococcus_thermophilus	1
Streptococcus_thermophilus_ND03	5
Tannerella_forsythia	5
Tannerella_forsythia_92A2	9
Tannerella_forsythia_KS16	8
Treponema	18
Treponema_azotonutricium_ZAS-9	2
Treponema_brennaborense_DSM_12168	4
Treponema_caldarium_DSM_7334	31
Treponema_denticola	0
Treponema_denticola_ATCC_35405	0
Treponema_denticola_H1-T	4
Treponema_medium	3
Treponema_pallidum	0
Treponema_pallidum_subsp._pallidum	1
Treponema_pallidum_subsp._pertenue	0
Treponema_paraluiscuniculi_Cuniculi_A	1
Treponema_parvum	19
Treponema_pedis	1
Treponema_phagedenis	6
Treponema_primitia_ZAS-2	13
Treponema_ruminis	5
Treponema_socranskii_subsp._buccale	11
Treponema_sp._OMZ_838	4
Treponema_succinifaciens_DSM_2489	5
Treponema_vincentii	7
Veillonella_parvula	1
Veillonella_parvula_HSIVP1	2
Vesicular_stomatitis_Indiana_virus	0
Vibrio_anguillarum	5
Vibrio_cholerae	5
Vibrio_cholerae_O1_biovar_El_Tor	1
Vibrio_furnissii	11
Vibrio_furnissii_NCTC_11218	1
Vibrio_parahaemolyticus	7
Vibrio_parahaemolyticus_UCM-V493	1
Vibrio_splendidus	1
Vibrio_vulnificus	27
Vibrio_vulnificus_NBRC_15645_=_ATCC_27562	1
Vibrio_vulnificus_VVyb1(BT3)	2
Yersinia_aldovae	0
Yersinia_aldovae_670-83	1
Yersinia_aleksiciae	2
Yersinia_enterocolitica	2
Yersinia_enterocolitica_(type_O:5)_str._YE53/03	2
Yersinia_enterocolitica_LC20	2
Yersinia_intermedia	10
Yersinia_pestis	3
Yersinia_pestis_CO92	0
Yersinia_pseudotuberculosis	0
Yersinia_pseudotuberculosis_complex	1
Yersinia_rohdei	7
Yersinia_ruckeri	11
Yersinia_similis	1
