Node	NumberOfAssignedReads
Legionella_pneumophila_subsp._fraseri	2
Legionella_pneumophila_subsp._pascullei	2
Legionella_pneumophila_subsp._pneumophila	1
Leptospira_alexanderi	0
Leptospira_alstonii	0
Leptospira_biflexa	0
Leptospira_biflexa_serovar_Patoc	1
Leptospira_borgpetersenii	4
Leptospira_borgpetersenii_serovar_Ceylonica	13
Leptospira_broomii	0
Leptospira_fainei	0
Leptospira_inadai	0
Leptospira_interrogans	21
Leptospira_interrogans_serovar_Hardjo-prajitno	1
Leptospira_interrogans_serovar_Lai_str._56601	1
Leptospira_interrogans_serovar_Manilae	3
Leptospira_kirschneri	0
Leptospira_kmetyi	2
Leptospira_licerasiae	0
Leptospira_noguchii	0
Leptospira_santarosai	1
Leptospira_santarosai_serovar_Shermani_str._LT_821	1
Leptospira_weilii	36
Leptospira_wolffii	0
Listeria_monocytogenes	1
Listeria_monocytogenes_6179	1
Listeria_monocytogenes_HCC23	1
Listeria_monocytogenes_J1816	1
Lumpy_skin_disease_virus	0
Lymphocryptovirus	0
Mannheimia_haemolytica	48
Mannheimia_haemolytica_D153	2
Mannheimia_haemolytica_D174	1
Mannheimia_haemolytica_M42548	3
Mannheimia_haemolytica_USDA-ARS-USMARC-183	1
Mannheimia_haemolytica_USMARC_2286	2
Measles_morbillivirus	0
Methanobrevibacter_oralis	0
Moraxella_catarrhalis	0
Moraxella_catarrhalis_BBH18	2
Morbillivirus	0
Mycobacterium_avium	458
Mycobacterium_avium_subsp._avium	89
Mycobacterium_avium_subsp._hominissuis	363
Mycobacterium_avium_subsp._paratuberculosis	64
Mycobacterium_canettii	327
Mycobacterium_colombiense	0
Mycobacterium_colombiense_CECT_3035	239
Mycobacterium_intracellulare	830
Mycobacterium_intracellulare_subsp._yongonense	149
Mycobacterium_kansasii	382
Mycobacterium_leprae	0
Mycobacterium_leprae_Kyoto-2	11
Mycobacterium_marseillense	158
Mycobacterium_sp._JS623	284
Mycobacterium_sp._YC-RL4	185
Mycobacterium_tuberculosis	352
Mycobacterium_tuberculosis_KZN_1435	131
Mycobacterium_tuberculosis_complex	197
Mycobacterium_tuberculosis_variant_africanum	0
Mycobacterium_tuberculosis_variant_bovis	0
Mycobacteroides_abscessus	194
Mycobacteroides_abscessus_subsp._abscessus	54
Mycobacteroides_abscessus_subsp._bolletii	28
Mycobacteroides_abscessus_subsp._bolletii_50594	12
Mycobacteroides_abscessus_subsp._massiliense	39
Mycobacteroides_abscessus_subsp._massiliense_CCUG_48898_=_JCM_15300	26
Mycoplasma_haemocanis	0
Mycoplasma_haemofelis	0
Mycoplasma_mycoides	0
Mycoplasma_ovipneumoniae	0
Mycoplasma_pneumoniae	0
Neisseria_elongata	0
Neisseria_elongata_subsp._glycolytica	3
Neisseria_gonorrhoeae	7
Neisseria_meningitidis	13
Neisseria_meningitidis_8013	1
Neisseria_meningitidis_M0579	1
Neisseria_mucosa	4
Neisseria_sicca	3
Neisseria_subflava	7
Neisseria_weaveri	5
Orthohepadnavirus	0
Orthopoxvirus	1
Paraavulavirus	0
Parvimonas_micra	2
Pasteurella_multocida	5
Pasteurella_multocida_subsp._multocida	35
Pasteurella_multocida_subsp._multocida_str._3480	1
Peptostreptococcus_anaerobius	0
Polyomaviridae	0
Porphyromonas_gingivalis	6
Porphyromonas_gingivalis_A7A1-28	3
Porphyromonas_gingivalis_TDC60	1
Porphyromonas_gingivalis_W83	0
Rickettsia_africae	0
Rickettsia_akari	0
Rickettsia_conorii	1
Rickettsia_felis	0
Rickettsia_japonica	0
Rickettsia_prowazekii	0
Rickettsia_rickettsii	0
Rickettsia_sibirica	0
Rickettsia_typhi	1
Salmonella_enterica	22
Salmonella_enterica_subsp._VII	1
Salmonella_enterica_subsp._enterica	13
Salmonella_enterica_subsp._enterica_serovar_Choleraesuis	1
Salmonella_enterica_subsp._enterica_serovar_Fresno	1
Salmonella_enterica_subsp._enterica_serovar_Indiana	1
Salmonella_enterica_subsp._enterica_serovar_Senftenberg	1
Salmonella_enterica_subsp._enterica_serovar_Typhi_str._Ty2	1
Salmonella_enterica_subsp._enterica_serovar_Typhimurium	0
Salmonella_enterica_subsp._salamae_serovar_55:k:z39_str._1315K	3
Sheeppox_virus	0
Shigella_boydii	0
Shigella_dysenteriae	0
Shigella_flexneri	0
Shigella_sonnei	0
Simian_virus_12	0
Staphylococcus_aureus	73
Staphylococcus_aureus_subsp._aureus_NCTC_8325	5
Staphylococcus_cohnii	35
Staphylococcus_epidermidis	162
Staphylococcus_epidermidis_ATCC_12228	8
Staphylococcus_epidermidis_PM221	14
Staphylococcus_equorum	56
Staphylococcus_hominis	35
Staphylococcus_hominis_subsp._hominis	33
Staphylococcus_nepalensis	6
Staphylococcus_saprophyticus	19
Staphylococcus_simulans	3
Staphylococcus_succinus	13
Streptococcus_agalactiae	2
Streptococcus_anginosus	3
Streptococcus_anginosus_C1051	3
Streptococcus_canis	8
Streptococcus_cristatus	1
Streptococcus_cristatus_AS_1.3089	1
Streptococcus_cristatus_ATCC_51100	17
Streptococcus_dysgalactiae	3
Streptococcus_dysgalactiae_subsp._dysgalactiae	3
Streptococcus_dysgalactiae_subsp._equisimilis	8
Streptococcus_equi	3
Streptococcus_equi_subsp._zooepidemicus	13
Streptococcus_equi_subsp._zooepidemicus_MGCS10565	1
Streptococcus_gallolyticus	3
Streptococcus_gallolyticus_UCN34	3
Streptococcus_gordonii	17
Streptococcus_gordonii_str._Challis_substr._CH1	0
Streptococcus_intermedius	1
Streptococcus_intermedius_B196	6
Streptococcus_lutetiensis	6
Streptococcus_milleri	2
Streptococcus_mitis	74
Streptococcus_mitis_B6	24
Streptococcus_mutans	4
Streptococcus_mutans_UA159	3
Streptococcus_oralis	44
Streptococcus_oralis_ATCC_35037	3
Streptococcus_oralis_Uo5	1
Streptococcus_oralis_subsp._oralis	7
Streptococcus_oralis_subsp._tigurinus	6
Streptococcus_parauberis	2
Streptococcus_pneumoniae	15
Streptococcus_pneumoniae_670-6B	1
Streptococcus_pneumoniae_ATCC_700669	2
Streptococcus_pneumoniae_Hungary19A-6	1
Streptococcus_pneumoniae_PCS8235	2
Streptococcus_pyogenes	2
Streptococcus_salivarius	15
Streptococcus_salivarius_57.I	1
Streptococcus_salivarius_CCHSS3	1
Streptococcus_salivarius_JIM8777	10
Streptococcus_sanguinis	27
Streptococcus_sanguinis_SK36	7
Streptococcus_sp._HSISM1	5
Streptococcus_suis	32
Streptococcus_suis_05HAS68	2
Streptococcus_suis_ST1	1
Streptococcus_suis_YB51	2
Streptococcus_thermophilus	274
Streptococcus_thermophilus_1F8CT	35
Streptococcus_thermophilus_ND03	62
Tannerella_forsythia	3
Tannerella_forsythia_92A2	5
Tannerella_forsythia_KS16	7
Treponema	11
Treponema_azotonutricium_ZAS-9	4
Treponema_brennaborense_DSM_12168	8
Treponema_caldarium_DSM_7334	3
Treponema_denticola	0
Treponema_denticola_ATCC_35404	1
Treponema_denticola_ATCC_35405	0
Treponema_denticola_OTK	1
Treponema_pallidum	0
Treponema_pallidum_subsp._pallidum	0
Treponema_pallidum_subsp._pertenue	0
Treponema_phagedenis	10
Treponema_primitia_ZAS-2	22
Treponema_socranskii_subsp._buccale	14
Treponema_sp._OMZ_838	2
Treponema_succinifaciens_DSM_2489	13
Treponema_vincentii	5
Vaccinia_virus	1
Veillonella_parvula	24
Veillonella_parvula_HSIVP1	33
Vesicular_stomatitis_Indiana_virus	0
Vibrio_anguillarum	1
Vibrio_cholerae	6
Vibrio_furnissii	10
Vibrio_furnissii_NCTC_11218	4
Vibrio_parahaemolyticus	7
Vibrio_parahaemolyticus_UCM-V493	1
Vibrio_splendidus	0
Vibrio_vulnificus	7
Vibrio_vulnificus_VVyb1(BT3)	1
Vibrio_vulnificus_YJ016	1
Yersinia_aldovae	0
Yersinia_aleksiciae	4
Yersinia_enterocolitica	4
Yersinia_enterocolitica_subsp._palearctica_105.5R(r)	2
Yersinia_intermedia	4
Yersinia_pestis	0
Yersinia_pestis_Antiqua	1
Yersinia_pestis_CO92	0
Yersinia_pestis_subsp._pestis_bv._Medievalis	1
Yersinia_pseudotuberculosis	1
Yersinia_pseudotuberculosis_complex	3
Yersinia_rohdei	0
Yersinia_ruckeri	2
