Node	NumberOfAssignedReads
Salmonella_enterica_subsp._houtenae_str._ATCC_BAA-1581	1
Salmonella_enterica_subsp._salamae	1
Salmonella_enterica_subsp._salamae_serovar_55:k:z39_str._1315K	1
Sheeppox_virus	0
Shigella_boydii	0
Shigella_dysenteriae	0
Shigella_flexneri	0
Shigella_sonnei	0
Simian_virus_12	0
Staphylococcus_aureus	56
Staphylococcus_aureus_subsp._aureus_MN8	3
Staphylococcus_aureus_subsp._aureus_NCTC_8325	4
Staphylococcus_cohnii	9
Staphylococcus_epidermidis	42
Staphylococcus_epidermidis_ATCC_12228	9
Staphylococcus_epidermidis_PM221	2
Staphylococcus_equorum	29
Staphylococcus_hominis	2
Staphylococcus_hominis_subsp._hominis	13
Staphylococcus_nepalensis	4
Staphylococcus_saprophyticus	1
Staphylococcus_simulans	0
Staphylococcus_succinus	13
Streptococcus_agalactiae	0
Streptococcus_anginosus	2
Streptococcus_anginosus_C1051	1
Streptococcus_canis	1
Streptococcus_cristatus	2
Streptococcus_cristatus_AS_1.3089	3
Streptococcus_cristatus_ATCC_51100	2
Streptococcus_dysgalactiae	2
Streptococcus_equi	1
Streptococcus_equi_subsp._zooepidemicus	7
Streptococcus_equi_subsp._zooepidemicus_CY	1
Streptococcus_gallolyticus	0
Streptococcus_gallolyticus_UCN34	3
Streptococcus_gordonii	8
Streptococcus_gordonii_str._Challis_substr._CH1	0
Streptococcus_intermedius	0
Streptococcus_lutetiensis	0
Streptococcus_milleri	0
Streptococcus_mitis	15
Streptococcus_mitis_B6	4
Streptococcus_mutans	0
Streptococcus_mutans_UA159	1
Streptococcus_oralis	34
Streptococcus_oralis_ATCC_35037	2
Streptococcus_oralis_Uo5	1
Streptococcus_oralis_subsp._oralis	4
Streptococcus_oralis_subsp._tigurinus	3
Streptococcus_parauberis	0
Streptococcus_parauberis_NCFD_2020	3
Streptococcus_pneumoniae	5
Streptococcus_pneumoniae_CGSP14	2
Streptococcus_pneumoniae_Hungary19A-6	1
Streptococcus_pyogenes	1
Streptococcus_salivarius	3
Streptococcus_salivarius_CCHSS3	1
Streptococcus_salivarius_JIM8777	1
Streptococcus_sanguinis	10
Streptococcus_sanguinis_SK36	7
Streptococcus_sp._HSISM1	1
Streptococcus_suis	5
Streptococcus_suis_6407	1
Streptococcus_suis_D12	1
Streptococcus_suis_TL13	2
Streptococcus_suis_YB51	3
Streptococcus_thermophilus	3
Tannerella_forsythia	2
Tannerella_forsythia_92A2	0
Tannerella_forsythia_KS16	4
Treponema	11
Treponema_azotonutricium_ZAS-9	6
Treponema_brennaborense_DSM_12168	12
Treponema_caldarium_DSM_7334	1
Treponema_denticola	0
Treponema_denticola_ATCC_35404	1
Treponema_denticola_ATCC_35405	0
Treponema_pallidum	0
Treponema_pallidum_subsp._pallidum	0
Treponema_pallidum_subsp._pertenue	0
Treponema_parvum	1
Treponema_phagedenis	8
Treponema_primitia_ZAS-2	6
Treponema_ruminis	1
Treponema_socranskii_subsp._buccale	2
Treponema_sp._OMZ_838	3
Treponema_succinifaciens_DSM_2489	8
Treponema_vincentii	2
Veillonella_parvula	6
Veillonella_parvula_HSIVP1	4
Vesicular_stomatitis_Indiana_virus	0
Vibrio_anguillarum	2
Vibrio_anguillarum_775	1
Vibrio_cholerae	9
Vibrio_furnissii	4
Vibrio_furnissii_NCTC_11218	3
Vibrio_parahaemolyticus	3
Vibrio_parahaemolyticus_O1:Kuk_str._FDA_R31	1
Vibrio_splendidus	3
Vibrio_vulnificus	4
Vibrio_vulnificus_CMCP6	2
Vibrio_vulnificus_NBRC_15645_=_ATCC_27562	1
Yersinia_aldovae	0
Yersinia_aldovae_670-83	2
Yersinia_aleksiciae	3
Yersinia_enterocolitica	2
Yersinia_enterocolitica_LC20	1
Yersinia_enterocolitica_subsp._palearctica_105.5R(r)	1
Yersinia_intermedia	1
Yersinia_pestis	1
Yersinia_pestis_3067	1
Yersinia_pestis_CO92	0
Yersinia_pseudotuberculosis	0
Yersinia_pseudotuberculosis_complex	1
Yersinia_rohdei	1
Yersinia_ruckeri	4
Yersinia_similis	3
